TOD,inst
Friday 00:00,51.3636363636
Friday 00:20,44.8333333333
Friday 00:40,41.5
Friday 01:00,35.1666666667
Friday 01:20,42.5
Friday 19:20,0.0
Friday 19:40,10.0
Friday 20:00,14.0
Friday 20:20,18.0
Friday 20:40,18.0
Friday 21:00,16.5
Friday 21:20,16.5
Friday 21:40,13.5
Monday 18:20,0.0
Monday 18:40,7.0
Monday 19:00,28.0
Monday 19:20,5.0
Monday 19:40,15.25
Monday 20:00,21.1111111111
Monday 20:20,23.9
Monday 20:40,34.5454545455
Monday 21:00,35.2727272727
Monday 21:20,40.0
Monday 21:40,34.4545454545
Monday 22:00,32.8181818182
Monday 22:20,30.5
Monday 22:40,25.6363636364
Monday 23:00,28.2222222222
Monday 23:20,20.25
Monday 23:40,19.0
Saturday 19:40,0.0
Saturday 20:00,1.0
Saturday 20:20,2.0
Saturday 20:40,5.5
Saturday 21:00,14.5
Saturday 21:20,16.5
Saturday 21:40,17.0
Saturday 22:00,17.5
Saturday 22:20,17.5
Saturday 22:40,17.5
Saturday 23:00,17.5
Saturday 23:20,0.0
Saturday 23:40,0.0
Sunday 00:00,0.0
Sunday 14:20,0.0
Sunday 14:40,241.0
Sunday 15:00,304.0
Sunday 15:20,337.0
Sunday 15:40,375.0
Sunday 16:00,392.0
Sunday 16:20,423.0
Sunday 16:40,456.0
Sunday 19:40,0.0
Sunday 20:00,3.5
Sunday 20:20,9.66666666667
Sunday 20:40,22.0
Sunday 21:00,27.2
Sunday 21:20,65.6666666667
Sunday 21:40,43.3333333333
Sunday 22:00,40.0
Sunday 22:20,45.0
Sunday 22:40,43.0
Sunday 23:00,43.0
Sunday 23:20,41.0
Thursday 00:00,25.2
Thursday 00:20,6.0
Thursday 00:40,0.0
Thursday 01:00,0.0
Thursday 01:20,0.0
Thursday 19:00,0.0
Thursday 19:20,0.0
Thursday 19:40,2.18181818182
Thursday 20:00,6.30769230769
Thursday 20:20,8.46666666667
Thursday 20:40,11.4
Thursday 21:00,11.55
Thursday 21:20,20.7142857143
Thursday 21:40,29.0909090909
Thursday 22:00,39.0454545455
Thursday 22:20,49.0
Thursday 22:40,53.6363636364
Thursday 23:00,58.5909090909
Thursday 23:20,56.2173913043
Thursday 23:40,58.5
Tuesday 00:00,18.0
Tuesday 00:20,18.0
Tuesday 00:40,18.0
Tuesday 01:00,18.0
Tuesday 01:20,18.0
Tuesday 01:40,18.0
Tuesday 02:00,18.0
Tuesday 02:20,18.0
Tuesday 02:40,18.0
Tuesday 03:00,18.0
Tuesday 03:20,18.0
Tuesday 03:40,18.0
Tuesday 04:00,18.0
Tuesday 04:20,18.0
Tuesday 04:40,18.0
Tuesday 05:00,18.0
Tuesday 05:20,18.0
Tuesday 05:40,18.0
Tuesday 06:00,18.0
Tuesday 06:20,18.0
Tuesday 06:40,18.0
Tuesday 07:00,18.0
Tuesday 07:20,18.0
Tuesday 07:40,18.0
Tuesday 08:00,18.0
Tuesday 08:20,18.0
Tuesday 08:40,18.0
Tuesday 09:00,18.0
Tuesday 09:20,18.0
Tuesday 09:40,18.0
Tuesday 10:00,18.0
Tuesday 10:20,18.0
Tuesday 10:40,18.0
Tuesday 11:00,18.0
Tuesday 11:20,18.0
Tuesday 19:20,0.0
Tuesday 19:40,7.5
Tuesday 20:00,17.7272727273
Tuesday 20:20,31.7272727273
Tuesday 20:40,30.9230769231
Tuesday 21:00,36.3333333333
Tuesday 21:20,38.5
Tuesday 21:40,35.6923076923
Tuesday 22:00,33.5384615385
Tuesday 22:20,31.4444444444
Tuesday 22:40,32.75
Tuesday 23:00,20.1428571429
Tuesday 23:20,16.3333333333
Tuesday 23:40,9.0
Wednesday 01:20,0.0
Wednesday 19:20,0.0
Wednesday 19:40,3.70588235294
Wednesday 20:00,8.84210526316
Wednesday 20:20,14.9523809524
Wednesday 20:40,28.2857142857
Wednesday 21:00,43.8260869565
Wednesday 21:20,55.7083333333
Wednesday 21:40,59.4583333333
Wednesday 22:00,64.0869565217
Wednesday 22:20,65.8695652174
Wednesday 22:40,67.0434782609
Wednesday 23:00,57.2916666667
Wednesday 23:20,53.3913043478
Wednesday 23:40,29.5
